max_array_rank,array_refs1,stmts,array_refs0,dbl_array_refs0,dbl_array_refs1,dbl_array_refs2,max_loop_depth,array_refs2,max_loop_level,ops,max_mergeable_arrays,lines_of_code,max_fusible_loops,fp_ops,branches,calls,bf2,bf1,bf0,indirect_array_refs2,indirect_array_refs1,indirect_array_refs0,judgment_M,proj,ver,path,sub,lnum,digest,nid,root_file
3,5,4,5,5,5,5,3,5,0,8,4,8,1,2,0,0,20.0000000000000000000,20.0000000000000000000,20.000000000000000000,0,0,0,None,abinit-cmake_git,54f0edb,src/17ddb/instr9.F90,instr9,359,MD5_19eef12fabd905eccdb62554635e620e,3937,src/main/anaddb.F90
2,4,22,8,8,4,4,2,4,0,6,4,21,1,6,4,4,5.3333334922790527344,5.3333334922790527344,10.666666984558105469,0,0,0,None,abinit-cmake_git,54f0edb,src/14bader/surf.F90,surf,457,MD5_4c0a90afe0d3186e8a57acc8f68dd87f,6104,src/main/aim.F90
2,1,38,27,27,1,1,3,1,0,22,10,53,2,14,0,4,0.5714285969734191895,0.5714285969734191895,15.428571701049804688,0,0,0,None,abinit_git,1436bcc,src/63_bader/cpdrv.F90,cpdrv,536,MD5_c44712efdc697bcf3d1192cfe892e968,7934,src/98_main/aim.F90
2,8,64,18,18,8,8,10,8,0,10,4,159,3,16,4,12,4.0000000000000000000,4.0000000000000000000,9.000000000000000000,0,0,0,None,belgiovi-clmagma_git,516ca83,testing/lin/sdrvrf3.f,sdrvrf3,116,MD5_fe19fd43f3bc0f35857a5d608fd8adf9,10037,testing/lin/schkrfp.f
2,2,26,4,4,2,2,1,2,4,14,2,28,0,22,6,14,0.7272727489471435547,0.7272727489471435547,1.454545497894287109,0,0,0,None,belgiovi-clmagma_git,516ca83,testing/lin/ctpt03.f,ctpt03,155,MD5_07eec205006d974d285afdcdf89f6fd5,14313,testing/lin/cchkaa.f
2,4,10,23,23,4,4,2,4,4,19,4,15,1,16,1,2,2.0000000000000000000,2.0000000000000000000,11.500000000000000000,0,0,0,M5,blas-lapack-ffi_git,781517b,unused/lapack_cwrapper/testing/main/LIN/claptm.f,claptm,173,MD5_b042d692b0192cb375db0b444392a49c:MD5_cebc3e82d35b012dd9d75fb62cc2828a,2232,unused/lapack_cwrapper/testing/main/LIN/cchkaa.f
2,9,662,132,132,9,6,4,6,1,164,4,1204,12,200,74,230,0.2399999946355819702,0.3600000143051147461,5.280000209808349609,0,0,0,None,blas-lapack-ffi_git,781517b,unused/lapack_cwrapper/testing/main/EIG/zchkst.f,zchkst,555,MD5_fb5d93aff2e9e10bc74013b6b54c618a,14207,unused/lapack_cwrapper/testing/main/EIG/zchkee.f
3,21,40,39,39,21,21,3,21,1,48,5,69,2,45,0,18,3.7333333492279052734,3.7333333492279052734,6.933333396911621094,0,0,0,M5,CHYMERATEST_git,bed32b4,flux.f,flux,894,MD5_cd1edf327c9820c5b5c2efeb8cc99c11,1182,3dhyd-main.f
3,7,3,7,7,7,5,2,5,1,7,6,5,1,5,0,0,8.0000000000000000000,11.1999998092651367188,11.199999809265136719,0,0,0,M5,CM1_git,fc4db52,src/sfcphys.F,sfcdrag,246,MD5_bd74c517a6c81abf6c6dd970e7a74a5d,2262,src/cm1.F
3,3,7,3,3,3,3,2,3,3,3,2,10,1,2,1,0,12.0000000000000000000,12.0000000000000000000,12.000000000000000000,0,0,0,M5,CM1_git,fc4db52,src/bc.F,radbcew,2054,MD5_567abaa67dba31309fd1820cadcb23cb,4799,src/cm1.F
3,3,4,10,10,3,3,2,3,3,5,6,6,1,7,0,2,3.4285714626312255859,3.4285714626312255859,11.428571701049804688,0,0,0,M5,CM1_git,fc4db52,src/bc.F,restrict_openbc_we,2297,MD5_9730d2d06df3e30e012f2d36cdcbae7c,4834,src/cm1.F
2,3,7,4,4,3,3,2,3,5,8,2,8,1,4,0,3,6.0000000000000000000,6.0000000000000000000,8.000000000000000000,0,0,0,M5,coin_git,b377a3f,ThirdParty/lapack/TESTING/LIN/dlattb.f,dlattb,641,MD5_54ea17475baa373fe25aed83f26a69b4:MD5_9b398614ca182fc343bebe0fedcb7e12,55494,ThirdParty/lapack/TESTING/LIN/dchkaa.f
2,6,10,8,8,6,6,2,6,6,9,4,11,1,8,0,0,6.0000000000000000000,6.0000000000000000000,8.000000000000000000,0,0,0,M5,cp2k_git,e340926,potentials/Goedecker/pseudo/v2.3/sub_lapack.F,dlasr,2796,MD5_d5ed916c533cbaf8771e456fe16f57eb:MD5_ed66ebde7d99cc122781362f2682cc6e,5806,potentials/Goedecker/pseudo/v2.2/pseudo.f
2,4,3,6,6,4,4,2,4,1,7,8,7,1,7,0,1,4.5714287757873535156,4.5714287757873535156,6.857142925262451172,0,0,0,None,darksusy_ucmh_git,21aedbb,src/su/dsvertx3.f,dsvertx3,1098,MD5_188f5443fc8147346e07f1e62ab29f11,10758,misc2/carlos_fluxtest-mssm.f
2,5,12,12,12,5,5,2,5,1,21,4,20,2,21,1,0,1.9047619104385375977,1.9047619104385375977,4.571428775787353516,0,0,0,M5,DFPT-tetra_git,22abe7a,PW/src/vcsubs.f90,vcmove,823,MD5_1dc5a492bbe4295ad8f301b916fc25de:MD5_2bf2142715719d4c7ca72f85e95faeee,47686,PW/src/manypw.f90
2,8,9,9,9,8,8,3,8,0,18,4,24,1,30,0,8,2.1333334445953369141,2.1333334445953369141,2.400000095367431641,0,0,0,M5,DOS_git,2a96991,dos_kpt/dos_kpt_fixed.f90,?,91,MD5_4395b9f4519c81e3e0beefc5992c2d09,26,dos_kpt/dos_kpt_fixed.f90
1,6,8,16,16,6,5,3,5,3,14,4,13,2,8,1,0,5.0000000000000000000,6.0000000000000000000,16.000000000000000000,0,0,0,M5,ED2_Erelax_git,206f380,BRAMS/src/turb/rgrad.f90,gradxu,376,MD5_7cdfc2d408a45b90a108f0fddb90b0a6,11969,BRAMS/src/core/rammain.f90
3,7,4,7,7,7,7,3,7,2,6,10,9,1,5,0,0,11.1999998092651367188,11.1999998092651367188,11.199999809265136719,0,0,0,M5,ED2_git,8ae79fd,BRAMS/src/turb/turb_diff.f90,diffvel,247,MD5_00e693fe373643a27bf58c369af57711:MD5_c39cb5cb574b7a977390ed0f6d24d9ef,12491,BRAMS/src/core/rammain.F90
2,6,10,8,8,6,3,2,3,5,10,4,11,1,8,0,0,3.0000000000000000000,6.0000000000000000000,8.000000000000000000,0,0,0,M5,elk_git,610ccd4,src/LAPACK/zlasr.f,zlasr,281,MD5_d9037da68a05c38d7e736ab7da0fc7ea:MD5_ebb902f835f4389fac3d93a25a887408,6877,src/main.f90
5,9,14,18,18,9,9,2,9,10,22,2,16,1,22,0,0,3.2727272510528564453,3.2727272510528564453,6.545454502105712891,0,0,0,None,elk_git,610ccd4,src/fftlib/cfftnd.f90,cmf3kf,1123,MD5_c8dd2e15fb60938b96f15df305289afc,11388,src/main.f90
3,2,5,6,6,2,2,2,2,0,6,4,7,1,25,0,4,0.6399999856948852539,0.6399999856948852539,1.919999957084655762,0,0,0,None,espresso-4.0.3_git,2e70494,W90/src/hamiltonian.F90,hamiltonian_get_hr,261,MD5_3fe261cc3a0e6a32b59d81e93eee9050,20892,W90/src/wannier_prog.F90
2,3,10,8,8,3,3,2,3,9,9,4,11,1,8,0,0,3.0000000000000000000,3.0000000000000000000,8.000000000000000000,0,0,0,M5,espresso-4.0.3_git,2e70494,flib/lapack_atlas.f,zlasr,10979,MD5_3443fef08aa56958c6ecae388382c721:MD5_75b31b2b2df760421adea52e34536c08,38645,Gamma/phcg.f90
2,4,10,6,6,4,3,1,3,12,6,2,14,0,5,1,7,4.8000001907348632812,6.4000000953674316406,9.600000381469726562,0,0,0,M5,exciting_git,08f755c,src/LAPACK/zlauu2.f,zlauu2,167,MD5_cb2cf356a7a8f0d438adcf9fd42a4e0d:MD5_dd22aee74ffb80b20b8c4124bc308716,14044,test/test02/src/test2.f90
2,3,3,3,3,3,3,2,3,3,3,2,5,1,2,0,0,12.0000000000000000000,12.0000000000000000000,12.000000000000000000,0,0,0,M5,fmmlib3d_git,af4f0a0,src/helmrouts3d.f,h3dformmp_dp_trunc,3578,MD5_70509429b1401a66659014f765b724fc,1909,examples/hfmm3dtria_driver.f
2,3,10,8,8,3,3,2,3,12,9,4,11,1,8,0,0,3.0000000000000000000,3.0000000000000000000,8.000000000000000000,0,0,0,M5,FPLAPW-KP_git,cf8b8da,src/LAPACK/dlasr.f,dlasr,247,MD5_6273d8e3e0e76781c8edd647f6e349d1:MD5_73c5c84cda0760991053cf4ee35c3406,17315,src/mainxml/main.f90
2,2,150,39,39,2,2,2,2,1,70,6,214,1,110,31,7,0.1454545408487319946,0.1454545408487319946,2.836363554000854492,0,0,0,None,fvs_git,d14aa37,nc/src/cratet.f,cratet,260,MD5_e34e144139c091f263d3142e3f87f7fc,42988,base/src/main.f
3,24,25,27,27,24,24,3,24,0,7,8,65,1,32,1,16,6.0000000000000000000,6.0000000000000000000,6.750000000000000000,0,0,0,None,GAMIL_git,cdaa2d9,models/atm/gamil/src/dynamics/sld/spetru.F90,spetru,954,MD5_f52f0f93ec2246287dda037672e4cc50,3758,models/atm/gamil/src/control/gamil.F90
2,5,3,9,9,5,5,1,5,3,8,3,3,0,6,0,0,6.6666665077209472656,6.6666665077209472656,12.000000000000000000,0,0,0,M5,GISS_climate_model_git,3b41985,model/FFT288.f,ffti,370,MD5_e2e999aba973e25c27e92d878d71fe65,2397,aux/r2cfft.f
3,2,37,20,20,2,2,2,2,0,20,7,74,1,4,8,15,4.0000000000000000000,4.0000000000000000000,40.000000000000000000,0,0,0,None,GITM_git,233d5c7,share/Library/src/ModLinearSolver.f90,prehepta,1192,MD5_eadb446800901609362d8ac4275224b5,1860,share/Library/test/test_linear_solver.f90
2,5,8,9,9,5,5,3,5,8,22,2,16,1,20,0,0,2.0000000000000000000,2.0000000000000000000,3.599999904632568359,0,0,0,None,gops_git,3de1c58,G/AT.f,axt,59,MD5_62e62d2b2d6af70a6e6696ab20c718ed,28723,O/main.f90
3,3,5,18,18,3,3,1,3,9,21,4,6,0,15,0,0,1.6000000238418579102,1.6000000238418579102,9.600000381469726562,0,0,0,M5,gops_git,3de1c58,a/g.CSMinit.f90,csmd6,4781,MD5_deb7f7dffe3252e01ff535fc96c1e7d0:MD5_f9e2225b4973d9c0471d1a22198bccdd,34718,O/main.f90
3,3,5,18,18,3,3,1,3,9,20,4,6,0,15,0,0,1.6000000238418579102,1.6000000238418579102,9.600000381469726562,0,0,0,M5,gops_git,3de1c58,GMIN/CSMinit.f90,csmc4,2991,MD5_6acb9f26b99678493ca29dcecd78a27c:MD5_b40a3c8fb03255218b5bdc63f63be5ed,34898,O/main.f90
2,2,10,4,4,2,2,3,2,6,14,2,15,2,35,0,3,0.4571428596973419189,0.4571428596973419189,0.914285719394683838,0,0,0,None,gops_git,3de1c58,a/g.vgw.f90,gaussenergypb,1018,MD5_900989600cb3610606c43fc645817434,51478,O/main.f90
1,12,82,17,17,12,12,4,12,0,32,1,114,1,10,10,29,9.6000003814697265625,9.6000003814697265625,13.600000381469726562,0,0,0,None,Grendel_git,7e39a8d,src/intder/intder.f,machy,5939,MD5_dabf5777f2ebf8b551f189344f7a9a1b,606,src/intder/intder.f
1,21,24,39,39,21,21,2,21,1,66,2,48,2,47,0,0,3.5744681358337402344,3.5744681358337402344,6.638298034667968750,0,0,0,M5,Hybrid-code-fortran-90_git,65eb928,gutsp.f90,get_vplus_vminus,239,MD5_1a04d3a3ecf74a40a08a67170716223b,132,maind.f90
1,4,31,15,15,4,4,2,4,5,13,2,50,2,6,6,4,5.3333334922790527344,5.3333334922790527344,20.000000000000000000,3,3,6,None,iqist_git,35ea908,src/ctqmc/azalea/ctqmc_flavor.f90,ctqmc_make_overlap,1810,MD5_e782ef74286855c4f77c8e7e720ba531,3347,src/ctqmc/narcissus/ctqmc_main.f90
2,5,5,5,5,5,5,3,5,0,2,3,8,1,3,0,1,13.3333330154418945312,13.3333330154418945312,13.333333015441894531,0,0,0,None,jburkardt-f77_git,f217575,linpack_z/linpack_z_prb.f,test345,3785,MD5_cef1ad030b7e2df46333b1c7e85a6b9a,34379,linpack_z/linpack_z_prb.f
2,7,3,8,8,7,7,1,7,1,2,1,3,0,2,0,0,28.0000000000000000000,28.0000000000000000000,32.000000000000000000,0,0,0,M5,jburkardt-f_git,2a3860f,slatec/slatec.f90,dsteps,150705,MD5_dd939678307829b705babd9672a0e3a7,87348,slatec/slatec_prb.f90
3,4,4,4,4,4,4,3,4,3,2,4,8,1,2,0,0,16.0000000000000000000,16.0000000000000000000,16.000000000000000000,0,0,0,M5,jules-ppsrc-valpm_git,30e6a33,atmosphere/convection/update_conv_diags.f90,update_conv_diags,616,MD5_662f2bd1f4f6ec4029124197747a14e0:MD5_d132d1ef86fc56126950aeebc68999bd,34440,control/top_level/scm_shell.f90
2,18,9,18,18,18,18,1,18,10,23,1,10,0,23,0,0,6.2608695030212402344,6.2608695030212402344,6.260869503021240234,0,0,0,M5,lapack_git,c697c62,SRC/slarfx.f,slarfx,537,MD5_7330ba122823d75c4233d0e6564c2a36,1206,TESTING/EIG/schkee.f
2,1,6,3,3,1,1,2,1,6,1,2,6,1,1,0,1,8.0000000000000000000,8.0000000000000000000,24.000000000000000000,0,0,0,M5,lapack_git,c697c62,SRC/zlalsd.f,zlalsd,391,MD5_cfabd6f41095f95f4356178b271a49e8,156493,TESTING/LIN/zchkaa.f
2,6,15,24,24,6,6,1,6,1,5,3,44,0,3,0,2,16.0000000000000000000,16.0000000000000000000,64.000000000000000000,0,0,0,M5,MCF_git,7fb9b4e,mcf/src/particles_collect_colloid_interaction.F90,particles_collect_colloid_interaction,93,MD5_597727cd9a0c8c79f46c4ad89d892655,2390,mcf/src/mcf.F90
2,3,59,30,30,3,3,7,3,1,50,2,290,1,15,3,4,1.6000000238418579102,1.6000000238418579102,16.000000000000000000,0,0,0,None,MCF_git,7fb9b4e,mcf/src/particles_compute_density.F90,particles_compute_density,578,MD5_96234d7e00f667d5946c5ed5aedd00f6,2820,mcf/src/mcf.F90
2,2,10,4,4,2,2,1,2,4,9,2,23,0,1,1,5,16.0000000000000000000,16.0000000000000000000,32.000000000000000000,0,0,0,None,NEKCEM_git,1e1977e,libs/netlib/lapack.f,spotrf,262097,MD5_29b86cb82366ff82457af4424598a310:MD5_cc1cbb20fd4ad1f51c96a2472ff63fb1,8197,src/drive.F
3,1,9,6,6,1,1,4,1,0,3,2,9,1,2,1,0,4.0000000000000000000,4.0000000000000000000,24.000000000000000000,0,0,0,M5,NOAA-GFDL-MOM6_git,143f313,src/tracer/tracer_example.F90,tracer_column_physics,476,MD5_ad3d82df2534c096122747340fe0a6c9:MD5_b9a04ab3e6102e00289704da8099fc4d,3323,config_src/solo_driver/MOM_driver.F90
2,2,32,5,5,2,2,2,2,5,15,1,59,1,10,5,14,1.6000000238418579102,1.6000000238418579102,4.000000000000000000,0,0,0,None,numpy-vendor_git,9820ec7,atlas/src/lapack-lite-3.1.1/TESTING/LIN/crqt03.f,crqt03,141,MD5_f8c2a1ad291822a6cd1834bc0d86fe0d,40402,atlas/src/lapack-lite-3.1.1/TESTING/LIN/cchkaa.f
2,4,8,6,6,4,4,2,4,4,13,2,18,1,2,1,3,16.0000000000000000000,16.0000000000000000000,24.000000000000000000,0,0,0,None,numpy-vendor_git,9820ec7,atlas/src/lapack-lite-3.1.1/SRC/dlasyf.f,dlasyf,542,MD5_9171aeca5467bbaeeb7fe19cbc37e78f,135601,atlas/src/lapack-lite-3.1.1/TESTING/LIN/dchkaa.f
2,4,14,8,8,4,4,3,4,8,7,2,15,1,6,1,0,5.3333334922790527344,5.3333334922790527344,10.666666984558105469,0,0,0,None,ode-ampsim_git,9faa6c8,lib/flens/cxxblas/netlib/blas/dtrsm.f,dtrsm,228,MD5_0d602b054075c64b7a6f1589cd6fbd7a:MD5_e33d61080e9e6ef563f2e18245d0cc8c,10735,lib/flens/flens/blas/interface/test/dblat3.f
2,14,196,43,43,14,14,9,14,0,249,3,324,4,277,30,118,0.4043321311473846436,0.4043321311473846436,1.241877198219299316,0,0,0,None,OG-Lapack_git,4a24271,TESTING/EIG/dget31.f,dget31,189,MD5_c4cdb1054dbde07cd7d54bd43e2e9e3e,110292,TESTING/EIG/dchkee.f
4,4,5,4,4,4,4,4,4,1,1,2,9,1,1,0,0,32.0000000000000000000,32.0000000000000000000,32.000000000000000000,0,0,0,M5,open-fvs_git,ec493a7,fire/base/src/fmsoilheat.f,fmsoilheat,89,MD5_32c9c43369819dd932f2b67152dbacb2,37202,base/src/main.f
2,3,5,3,3,3,3,2,3,10,1,2,5,1,1,0,0,24.0000000000000000000,24.0000000000000000000,24.000000000000000000,0,0,0,M5,OpenBLAS_git,a96a4cb,lapack-netlib/SRC/zlascl.f,zlascl,291,MD5_72327fe1773a22c536af7c84b82db103:MD5_cc08fbb07c9666c87415a9dbe78b16a1,96450,lapack-netlib/TESTING/LIN/zchkaa.f
2,6,237,59,59,6,6,3,6,0,96,8,325,8,89,46,34,0.5393258333206176758,0.5393258333206176758,5.303370952606201172,0,0,3,None,OpenBLAS_git,a96a4cb,lapack-netlib/TESTING/EIG/dget38.f,dget38,186,MD5_46dc7c6b6ff5d0461c8ad96c7d2fa9a2,98449,lapack-netlib/TESTING/EIG/dchkee.f
2,1,28,6,6,1,1,2,1,9,21,2,32,3,2,3,4,4.0000000000000000000,4.0000000000000000000,24.000000000000000000,0,0,0,M5,OpenBLAS_git,a96a4cb,ctest/c_cblat2.f,cmake,2874,MD5_53f74a0f20c09505e1df1370e88fe7d2:MD5_8fb7c70a4ed103a8bdb4c6454ecbe401,132221,ctest/c_cblat2.f
2,1,5,3,3,1,1,1,1,5,7,1,9,0,6,0,1,1.3333333730697631836,1.3333333730697631836,4.000000000000000000,0,0,0,M5,Perplex_git,7f830a1,source/olib.f,moduli,91,MD5_5ee64eeec7f0d09d0f646b87160bd8fd,8999,source/reader.f
2,1,3,3,3,1,1,1,1,3,1,1,3,0,1,0,0,8.0000000000000000000,8.0000000000000000000,24.000000000000000000,0,0,0,M5,PROPACK_git,2465f89,complex8/Lapack_Util/slasd2.f,slasd2,240,MD5_b4f3bfbf151c1158cbc0570b1545fa31,4448,complex8/Examples/example.F
2,2,11,5,5,2,2,2,2,3,6,4,12,1,3,1,0,5.3333334922790527344,5.3333334922790527344,13.333333015441894531,0,0,0,None,PyFVS_git,6b84273,fire/ut/src/fmcfmd.f,fmcfmd,442,MD5_5390bf5f09ede65d455783010e61af20:MD5_716be3139e3c6ec48007cd6bd87ec100,39869,api/main.f90
2,1,6,4,4,1,1,1,1,3,3,3,4,0,1,2,0,8.0000000000000000000,8.0000000000000000000,32.000000000000000000,0,0,2,None,PyFVS_git,6b84273,rd/src/rdsprd.f,rdsprd,217,MD5_794aec3df220b14e33cea6bd55872239,43373,api/main.f90
2,6,12,12,12,6,3,1,3,1,5,1,17,0,6,2,5,4.0000000000000000000,8.0000000000000000000,16.000000000000000000,0,0,0,None,q-e_git,1f12d22,GWW/pw4gww/semicore.f90,semicore,47,MD5_3de976f7e4cba2143d742843dbbb5ab8,34168,GWW/pw4gww/pw4gww.f90
3,10,21,14,14,10,10,4,10,2,11,2,39,3,9,1,8,8.8888893127441406250,8.8888893127441406250,12.444444656372070312,0,0,0,None,quantum-espresso_git,37def7f,PH/addnlcc.f90,addnlcc,81,MD5_c7a22117d51b285a24a1e14a54f2efdf,26130,PH/phonon.f90
2,2,4,2,2,2,2,2,2,1,3,2,7,1,5,0,2,3.2000000476837158203,3.2000000476837158203,3.200000047683715820,0,0,0,M5,saga5.5_git,7c99e8f,src/copy021014/mh.f,rotconv,530,MD5_9fded5e3e75e56c41fd29e66dc68e91f,18234,src/ga.f
3,7,12,10,0,0,0,2,7,9,16,2,15,2,16,0,1,1.7500000000000000000,1.7500000000000000000,2.500000000000000000,0,0,0,M5,UM-ppsrc-vamkK_git,cd40696,atmosphere/radiance_core/trans_source_coeff.f90,trans_source_coeff,147,MD5_1a5b3fb16dd740b6d915671d2179dc54,11162,control/top_level/scm_shell.f90
2,6,7,16,0,0,0,1,6,2,1,4,8,0,1,0,0,24.0000000000000000000,24.0000000000000000000,64.000000000000000000,0,0,0,M5,UM-ppsrc-vamkK_git,cd40696,atmosphere/boundary_layer/dust_srce.f90,dust_srce,174,MD5_2dd48814476d8eaedebb495fc28daad0,19601,control/top_level/scm_shell.f90
3,47,28,51,0,0,0,3,47,4,20,30,44,1,16,0,0,11.7500000000000000000,11.7500000000000000000,12.750000000000000000,0,0,0,M5,UM-ppsrc-vamkK_git,cd40696,atmosphere/convection/shallow_conv-shconv5a.f90,shallow_conv_5a,2410,MD5_18e93a38f5bcc8a3ab22567fd91ac159:MD5_7e9d1152af7681a501fe0ea1acabd8fb,25919,control/top_level/scm_shell.f90
2,19,8,25,0,0,0,2,19,4,19,24,38,1,18,0,0,4.2222223281860351562,4.2222223281860351562,5.555555343627929688,0,0,0,M5,UM-ppsrc-vamkK_git,cd40696,atmosphere/convection/dts_pc2.f90,dts_pc2,222,MD5_299b33e42bca8a76c3f6733a056f5051:MD5_e4939c6467bf725a2a34a52d3d6ad670,29924,control/top_level/scm_shell.f90
3,4,4,4,0,0,0,3,4,3,2,4,8,1,2,0,0,8.0000000000000000000,8.0000000000000000000,8.000000000000000000,0,0,0,M5,UM-ppsrc-vamkK_git,cd40696,atmosphere/convection/update_conv_diags.f90,update_conv_diags,489,MD5_70360cc03d1f6ed443136b091a782684:MD5_9699d7a92e4497338f656348716bb0f9,33306,control/top_level/scm_shell.f90
2,8,16,13,12,8,5,1,5,4,16,2,20,0,15,1,5,2.6666667461395263672,4.2666668891906738281,6.666666507720947266,0,0,0,None,uquantchem_git,de43108,lapack-3.4.0/SRC/chetri2x.f,chetri2x,413,MD5_d4b32eae4c6eea1b2fae9f29eb12ab74,15124,lapack-3.4.0/TESTING/LIN/cchkaa.f
2,2,11,2,2,2,2,1,2,6,6,2,12,0,10,1,7,1.6000000238418579102,1.6000000238418579102,1.600000023841857910,0,0,0,None,uquantchem_git,de43108,lapack-3.4.0/TESTING/LIN/ztrt02.f,ztrt02,226,MD5_6ba79166f2f9b7ea1b1b638e29684d47,39128,lapack-3.4.0/TESTING/LIN/zchkaa.f
2,1,12,8,8,1,1,2,1,12,9,1,12,1,4,1,0,2.0000000000000000000,2.0000000000000000000,16.000000000000000000,0,0,0,M5,uquantchem_git,de43108,BLAS/ctrsv.f,ctrsv,185,MD5_946ea0ab7e04cec021ef68840a25e915,147950,lapack-3.4.0/TESTING/EIG/cchkee.f
2,7,11,9,9,7,7,3,7,0,8,1,10,1,4,1,0,14.0000000000000000000,14.0000000000000000000,18.000000000000000000,0,0,0,None,VAPO_git,d93599f,Precombustion/Mdot/test/PreCEA/pac/pac99.f,least,2769,MD5_7b209e277324dbf362e51df2d7127b5f,74004,Precombustion/Mdot/test/PreCEA/pac/pac99.f
2,3,20,11,11,3,3,2,3,3,14,4,26,1,11,3,0,2.1818182468414306641,2.1818182468414306641,8.000000000000000000,0,0,0,M5,VAPO_git,d93599f,Precombustion/Mdot/OFShift/ver01/Mdot0_03/CALC/PreCEA/MainCEA/cea/cea2.f,eqlbrm,1332,MD5_425da643957feab8f357f05a1aa00e31,94838,Precombustion/Mdot/OFShift/ver01/Mdot0_03/CALC/PreCEA/MainCEA/cea/cea2.f
1,1,93,78,78,1,1,2,1,0,41,13,84,2,60,16,4,0.1333333402872085571,0.1333333402872085571,10.399999618530273438,0,0,0,None,VAPO_git,d93599f,Precombustion/Mdot/OFShift/ver01/Mdot0_04/CALC/PreCEA/MainCEA/pac/pac99.f,least,2851,MD5_29c5653298a8a6583cb0947239d376ee,155712,Precombustion/Mdot/OFShift/ver01/Mdot0_04/CALC/PreCEA/MainCEA/pac/pac99.f
2,3,15,16,16,3,3,2,3,3,17,6,18,2,15,0,0,1.6000000238418579102,1.6000000238418579102,8.533333778381347656,0,0,0,M5,VAPO_git,d93599f,Precombustion/Mdot/temp/OFShift/PreCEA/Mycompile.f,cphs,388,MD5_b39ba6af87c84c09468fe3b5951407f3,241738,Precombustion/Mdot/temp/OFShift/PreCEA/Mycompile.f
2,9,23,13,13,9,9,3,9,3,7,4,32,3,6,1,1,12.0000000000000000000,12.0000000000000000000,17.333333969116210938,0,0,0,M5,VAPO_git,d93599f,N2O/ISP_CH4/LOX/MIXED_1_3/CEA/cea2.f,tranin,5416,MD5_53216d40375982a2d8def98c928fd127,266327,N2O/ISP_CH4/LOX/MIXED_1_3/CEA/cea2.f
2,1,3,3,3,1,1,1,1,1,3,1,3,0,26,1,1,0.3076923191547393799,0.3076923191547393799,0.923076927661895752,0,0,0,M5,VAPO_git,d93599f,Precombustion/Mdot/OFShift/ver01/Mdot0_075/CALC/PreCEA/cea2.f,frozen,1681,MD5_9c7388adb482ac6f88b489edafebdb41,392599,Precombustion/Mdot/OFShift/ver01/Mdot0_075/CALC/PreCEA/cea2.f
2,3,8,12,12,3,3,2,3,3,10,4,10,1,10,0,0,2.4000000953674316406,2.4000000953674316406,9.600000381469726562,0,0,0,M5,VAPO_git,d93599f,Precombustion/Mdot/OFShift/ver01/Mdot0_05/CALC/PreCEA/cea/cea2.f,tranp,5625,MD5_a04279c4bad31b53ac6ac436fddb1929,412068,Precombustion/Mdot/OFShift/ver01/Mdot0_05/CALC/PreCEA/cea/cea2.f
3,11,8,11,11,11,4,2,4,2,12,4,13,1,9,0,1,3.5555555820465087891,9.7777776718139648438,9.777777671813964844,0,0,0,M5,VO63-gotm_git,b8770b1,code/shelfbreak/src/wind_stress.f90,wind_stress,34,MD5_6b1018a7991fed2424783ffda460ef93,1268,code/model/src/main.f90
